"","Bancaire rente op uitstaande woninghypotheken van huishoudens"
"januari 2003",5.65
"februari 2003",5.62
"maart 2003",5.59
"april 2003",5.55
"mei 2003",5.52
"juni 2003",5.46
"juli 2003",5.43
"augustus 2003",5.39
"september 2003",5.35
"oktober 2003",5.33
"november 2003",5.3
"december 2003",5.27
"januari 2004",5.24
"februari 2004",5.22
"maart 2004",5.19
"april 2004",5.16
"mei 2004",5.14
"juni 2004",5.12
"juli 2004",5.09
"augustus 2004",5.07
"september 2004",5.05
"oktober 2004",5.03
"november 2004",5
"december 2004",5
"januari 2005",4.98
"februari 2005",4.96
"maart 2005",4.92
"april 2005",4.89
"mei 2005",4.87
"juni 2005",4.84
"juli 2005",4.81
"augustus 2005",4.78
"september 2005",4.76
"oktober 2005",4.73
"november 2005",4.7
"december 2005",4.68
"januari 2006",4.67
"februari 2006",4.67
"maart 2006",4.67
"april 2006",4.67
"mei 2006",4.67
"juni 2006",4.68
"juli 2006",4.68
"augustus 2006",4.69
"september 2006",4.71
"oktober 2006",4.72
"november 2006",4.74
"december 2006",4.76
"januari 2007",4.76
"februari 2007",4.77
"maart 2007",4.8
"april 2007",4.78
"mei 2007",4.79
"juni 2007",4.81
"juli 2007",4.81
"augustus 2007",4.82
"september 2007",4.84
"oktober 2007",4.88
"november 2007",4.86
"december 2007",4.88
"januari 2008",4.87
"februari 2008",4.87
"maart 2008",4.86
"april 2008",4.87
"mei 2008",4.89
"juni 2008",4.89
"juli 2008",4.91
"augustus 2008",4.92
"september 2008",4.93
"oktober 2008",4.96
"november 2008",4.95
"december 2008",4.93
"januari 2009",4.9
"februari 2009",4.86
"maart 2009",4.84
"april 2009",4.82
"mei 2009",4.8
"juni 2009",4.8
"juli 2009",4.78
"augustus 2009",4.78
"september 2009",4.76
"oktober 2009",4.76
"november 2009",4.75
"december 2009",4.76
"januari 2010",4.76
"februari 2010",4.75
"maart 2010",4.75
"april 2010",4.74
"mei 2010",4.74
"juni 2010",4.76
"juli 2010",4.78
"augustus 2010",4.77
"september 2010",4.76
"oktober 2010",4.77
"november 2010",4.76
"december 2010",4.77
"januari 2011",4.75
"februari 2011",4.75
"maart 2011",4.75
"april 2011",4.76
"mei 2011",4.77
"juni 2011",4.78
"juli 2011",4.78
"augustus 2011",4.79
"september 2011",4.79
"oktober 2011",4.78
"november 2011",4.78
"december 2011",4.77
"januari 2012",4.77
"februari 2012",4.75
"maart 2012",4.74
"april 2012",4.73
"mei 2012",4.72
"juni 2012",4.72
"juli 2012",4.71
"augustus 2012",4.69
"september 2012",4.68
"oktober 2012",4.67
"november 2012",4.65
"december 2012",4.65
"januari 2013",4.64
"februari 2013",4.63
"maart 2013",4.62
"april 2013",4.61
"mei 2013",4.59
"juni 2013",4.58
"juli 2013",4.56
"augustus 2013",4.55
"september 2013",4.54
"oktober 2013",4.52
"november 2013",4.51
"december 2013",4.5
"januari 2014",4.49
"februari 2014",4.47
"maart 2014",4.46
"april 2014",4.45
"mei 2014",4.39
"juni 2014",4.37
"juli 2014",4.35
"augustus 2014",4.33
"september 2014",4.29
"oktober 2014",4.29
"november 2014",4.26
"december 2014",4.24
"januari 2015",4.25
"februari 2015",4.23
"maart 2015",4.21
"april 2015",4.19
"mei 2015",4.16
"juni 2015",4.12
"juli 2015",4.08
"augustus 2015",4.06
"september 2015",4.03
"oktober 2015",4.02
"november 2015",3.99
"december 2015",3.95
"januari 2016",3.94
"februari 2016",3.81
"maart 2016",3.89
"april 2016",3.86
"mei 2016",3.83
"juni 2016",3.81
"juli 2016",3.77
"augustus 2016",3.74
"september 2016",3.71
"oktober 2016",3.67
"november 2016",3.64
"december 2016",3.62
"januari 2017",3.58
"februari 2017",3.55
"maart 2017",3.52
"april 2017",3.49
"mei 2017",3.47
"juni 2017",3.44
"juli 2017",3.41
"augustus 2017",3.39
"september 2017",3.37
"oktober 2017",3.35
"november 2017",3.32
"december 2017",3.29
"januari 2018",3.31
"februari 2018",3.29
"maart 2018",3.27
"april 2018",3.24
"mei 2018",3.23
"juni 2018",3.21
"juli 2018",3.19
"augustus 2018",3.16
"september 2018",3.15
"oktober 2018",3.13
"november 2018",3.11
"december 2018",3.1
"januari 2019",3.09
"februari 2019",3.08
"maart 2019",3.07
"april 2019",3.05
"mei 2019",3.03
"juni 2019",3.02
"juli 2019",3
"augustus 2019",2.98
"september 2019",2.96
"oktober 2019",2.93
"november 2019",2.92
"december 2019",2.9
"januari 2020",2.87
"februari 2020",2.85
"maart 2020",2.82
"april 2020",2.79
"mei 2020",2.76
"juni 2020",2.75
"juli 2020",2.72
"augustus 2020",2.7
"september 2020",2.67
"oktober 2020",2.65
"november 2020",2.63
"december 2020",2.61
"januari 2021",2.58
"februari 2021",2.56
"maart 2021",2.54
"april 2021",2.51
"mei 2021",2.49
"juni 2021",2.47
"juli 2021",2.45
"augustus 2021",2.43
"september 2021",2.41
"oktober 2021",2.39
"november 2021",2.37
"december 2021",2.34
"januari 2022",2.32
"februari 2022",2.3
"maart 2022",2.28
"april 2022",2.27
"mei 2022",2.26
"juni 2022",2.25
"juli 2022",2.25
"augustus 2022",2.26
"september 2022",2.27
"oktober 2022",2.3
"november 2022",2.32
"december 2022",2.34
"januari 2023",2.36
"februari 2023",2.38
"maart 2023",2.4
"april 2023",2.42
"mei 2023",2.43
"juni 2023",2.45
