Regio's,Onderwerp,2012,2016,2020,2024
Aa en Hunze,Bevolking aan het einde van de periode,25541,25286,25399,25936
Aalburg,Bevolking aan het einde van de periode,12774,13067,,
Aalsmeer,Bevolking aan het einde van de periode,30618,31373,31991,33209
Aalten,Bevolking aan het einde van de periode,27082,27047,27120,27471
Ter Aar,Bevolking aan het einde van de periode,,,,
Abcoude,Bevolking aan het einde van de periode,,,,
Achtkarspelen,Bevolking aan het einde van de periode,28110,27893,27900,28197
Alblasserdam,Bevolking aan het einde van de periode,19643,20008,20136,20247
Albrandswaard,Bevolking aan het einde van de periode,25101,25105,25814,26710
Alkemade,Bevolking aan het einde van de periode,,,,
Alkmaar,Bevolking aan het einde van de periode,94505,108373,109896,112923
Almelo,Bevolking aan het einde van de periode,72729,72479,73132,74752
Almere,Bevolking aan het einde van de periode,195213,200914,214715,229570
Alphen aan den Rijn,Bevolking aan het einde van de periode,72913,108915,112587,115746
Alphen-Chaam,Bevolking aan het einde van de periode,9640,10058,10373,10510
Altena,Bevolking aan het einde van de periode,,,56352,58736
Ambt Montfort,Bevolking aan het einde van de periode,,,,
Ameland,Bevolking aan het einde van de periode,3525,3633,3746,3807
Amerongen,Bevolking aan het einde van de periode,,,,
Amersfoort,Bevolking aan het einde van de periode,149662,154337,157462,163310
Amstelveen,Bevolking aan het einde van de periode,84379,89294,90829,95862
Amsterdam,Bevolking aan het einde van de periode,799278,844947,873338,935793
Andijk,Bevolking aan het einde van de periode,,,,
Angerlo,Bevolking aan het einde van de periode,,,,
Anna Paulowna,Bevolking aan het einde van de periode,,,,
Apeldoorn,Bevolking aan het einde van de periode,157315,160047,164781,168563
Appingedam,Bevolking aan het einde van de periode,12053,11971,11496,
Arcen en Velden,Bevolking aan het einde van de periode,,,,
Arnhem,Bevolking aan het einde van de periode,149827,155699,162424,169302
Assen,Bevolking aan het einde van de periode,67204,67551,68836,70395
Asten,Bevolking aan het einde van de periode,16392,16714,16817,17390
Axel,Bevolking aan het einde van de periode,,,,
Baarle-Nassau,Bevolking aan het einde van de periode,6699,6657,6899,7205
Baarn,Bevolking aan het einde van de periode,24277,24529,24792,25187
Barendrecht,Bevolking aan het einde van de periode,47371,48344,48643,48568
Barneveld,Bevolking aan het einde van de periode,53751,56376,59992,63160
Bathmen,Bevolking aan het einde van de periode,,,,
Bedum,Bevolking aan het einde van de periode,10553,10479,,
Beek (L.),Bevolking aan het einde van de periode,16367,15951,15875,16245
Beekdaelen,Bevolking aan het einde van de periode,,,36065,35817
Beemster,Bevolking aan het einde van de periode,8785,9205,10110,
