Regio's,Perioden,Beginstand voorraad,Nieuwbouw,Eindstand voorraad
Aa en Hunze,2012,12414,14,11214
Aa en Hunze,2016,11131,19,11145
Aa en Hunze,2020,11179,14,11207
Aa en Hunze,2024,11500,60,11555
Aalburg,2012,4769,43,4857
Aalburg,2016,5031,53,5071
Aalburg,2020,,,
Aalburg,2024,,,
Aalsmeer,2012,12267,49,12354
Aalsmeer,2016,12893,32,12919
Aalsmeer,2020,13217,73,13284
Aalsmeer,2024,13698,31,13731
Aalten,2012,11504,23,11451
Aalten,2016,11811,41,11872
Aalten,2020,11976,49,12028
Aalten,2024,12212,112,12346
Achtkarspelen,2012,11663,52,11711
Achtkarspelen,2016,11946,80,12028
Achtkarspelen,2020,12129,67,12181
Achtkarspelen,2024,12376,60,12416
Alblasserdam,2012,8083,26,8111
Alblasserdam,2016,8220,38,8252
Alblasserdam,2020,8353,54,8408
Alblasserdam,2024,8473,8,8493
Albrandswaard,2012,9822,33,10059
Albrandswaard,2016,10208,65,10286
Albrandswaard,2020,10517,61,10573
Albrandswaard,2024,10763,74,10797
Alkmaar,2012,43703,134,44049
Alkmaar,2016,50346,127,50513
Alkmaar,2020,51339,244,51656
Alkmaar,2024,53936,809,54739
Almelo,2012,31995,54,32117
Almelo,2016,32417,239,32859
Almelo,2020,33549,256,33827
Almelo,2024,34496,175,34709
Almere,2012,76755,573,77609
Almere,2016,79721,792,80582
Almere,2020,85977,1335,87259
Almere,2024,92353,1552,94045
Alphen aan den Rijn,2012,31005,116,31280
Alphen aan den Rijn,2016,45968,634,46723
Alphen aan den Rijn,2020,48178,644,48893
Alphen aan den Rijn,2024,50799,341,51069
Alphen-Chaam,2012,3936,52,3984
Alphen-Chaam,2016,4214,37,4254
Alphen-Chaam,2020,4371,60,4432
Alphen-Chaam,2024,4580,39,4619
Altena,2012,,,
Altena,2016,,,
Altena,2020,22399,194,22587
Altena,2024,23370,269,23642
Ameland,2012,1547,8,1568
Ameland,2016,1674,6,1686
Ameland,2020,1737,12,1753
Ameland,2024,1891,13,1913
Amersfoort,2012,63442,463,63856
Amersfoort,2016,65289,594,66034
Amersfoort,2020,67722,874,68809
Amersfoort,2024,71416,830,72367
Amstelveen,2012,41304,625,41616
Amstelveen,2016,43045,395,41649
Amstelveen,2020,42310,73,42251
Amstelveen,2024,42918,640,43578
Amsterdam,2012,408888,2829,411127
Amsterdam,2016,424390,5157,428035
Amsterdam,2020,447351,2560,449989
Amsterdam,2024,480852,5770,486769
Apeldoorn,2012,67968,474,68319
Apeldoorn,2016,70615,351,71050
Apeldoorn,2020,73244,827,74184
Apeldoorn,2024,75659,309,75994
Appingedam,2012,5732,55,5785
Appingedam,2016,5881,18,5899
Appingedam,2020,6042,140,6023
Appingedam,2024,,,
Arnhem,2012,69605,597,70571
Arnhem,2016,72711,665,73640
Arnhem,2020,76737,909,77839
Arnhem,2024,80665,789,81530
Assen,2012,29854,229,30183
Assen,2016,30691,240,30995
Assen,2020,32154,369,32538
Assen,2024,33215,308,33401
Asten,2012,6337,13,6464
