Regio's,Onderwerp,2012,2016,2020,2024
Aa en Hunze,Gemiddelde verkoopprijs,219111,227275,303789,458471
Aalburg,Gemiddelde verkoopprijs,250662,248188,,
Aalsmeer,Gemiddelde verkoopprijs,265452,332572,438060,575924
Aalten,Gemiddelde verkoopprijs,176637,192007,261776,358565
Ter Aar,Gemiddelde verkoopprijs,,,,
Aarle-Rixtel,Gemiddelde verkoopprijs,,,,
Abcoude,Gemiddelde verkoopprijs,,,,
Achtkarspelen,Gemiddelde verkoopprijs,178073,179055,241065,336113
Akersloot,Gemiddelde verkoopprijs,,,,
Alblasserdam,Gemiddelde verkoopprijs,212680,213289,292610,358823
Albrandswaard,Gemiddelde verkoopprijs,287149,290565,375789,547608
Alkemade,Gemiddelde verkoopprijs,,,,
Alkmaar,Gemiddelde verkoopprijs,201883,214497,313937,381336
Almelo,Gemiddelde verkoopprijs,171217,169101,222697,313612
Almere,Gemiddelde verkoopprijs,192040,206317,330079,460849
Alphen aan den Rijn,Gemiddelde verkoopprijs,198369,223430,320239,445481
Alphen en Riel,Gemiddelde verkoopprijs,,,,
Alphen-Chaam,Gemiddelde verkoopprijs,277341,291149,390439,540949
Altena,Gemiddelde verkoopprijs,,,319849,445893
Ambt Delden,Gemiddelde verkoopprijs,,,,
Ambt Montfort,Gemiddelde verkoopprijs,,,,
Ameland,Gemiddelde verkoopprijs,181521,252680,346924,391851
Amerongen,Gemiddelde verkoopprijs,,,,
Amersfoort,Gemiddelde verkoopprijs,245953,262805,379129,510887
Ammerzoden,Gemiddelde verkoopprijs,,,,
Amstelveen,Gemiddelde verkoopprijs,306621,363088,534717,649823
Amsterdam,Gemiddelde verkoopprijs,270507,358976,510919,617647
Andijk,Gemiddelde verkoopprijs,,,,
Angerlo,Gemiddelde verkoopprijs,,,,
Anloo,Gemiddelde verkoopprijs,,,,
Anna Paulowna,Gemiddelde verkoopprijs,,,,
Apeldoorn,Gemiddelde verkoopprijs,230535,227978,316006,434524
Appingedam,Gemiddelde verkoopprijs,151738,164504,204754,
Arcen en Velden,Gemiddelde verkoopprijs,,,,
Arnemuiden,Gemiddelde verkoopprijs,,,,
Arnhem,Gemiddelde verkoopprijs,205702,205816,279571,403201
Assen,Gemiddelde verkoopprijs,182530,190911,250572,361465
Asten,Gemiddelde verkoopprijs,245317,268162,342335,471246
Avereest,Gemiddelde verkoopprijs,,,,
Axel,Gemiddelde verkoopprijs,,,,
Baarle-Nassau,Gemiddelde verkoopprijs,263403,266280,314453,417733
Baarn,Gemiddelde verkoopprijs,308279,348588,473873,567286
Bakel en Milheeze,Gemiddelde verkoopprijs,,,,
Barendrecht,Gemiddelde verkoopprijs,262311,269159,376908,515747
Barneveld,Gemiddelde verkoopprijs,283522,282871,389922,519477
Bathmen,Gemiddelde verkoopprijs,,,,
Bedum,Gemiddelde verkoopprijs,179928,183710,,
Beek (L.),Gemiddelde verkoopprijs,185433,207205,255888,365677
Beek en Donk,Gemiddelde verkoopprijs,,,,
Beekdaelen,Gemiddelde verkoopprijs,,,274875,364234
Beemster,Gemiddelde verkoopprijs,243837,283115,463775,
Beesel,Gemiddelde verkoopprijs,213846,196107,267983,319521
Beilen,Gemiddelde verkoopprijs,,,,
Belfeld,Gemiddelde verkoopprijs,,,,
Bellingwedde,Gemiddelde verkoopprijs,161163,173653,,
Bemmel,Gemiddelde verkoopprijs,,,,
Bennebroek,Gemiddelde verkoopprijs,,,,
Berg en Dal,Gemiddelde verkoopprijs,,241713,340206,462603
Bergambacht,Gemiddelde verkoopprijs,289502,,,
Bergeijk,Gemiddelde verkoopprijs,278638,275527,373967,494950
Bergen (L.),Gemiddelde verkoopprijs,220671,213867,275066,397057
Bergen (NH.),Gemiddelde verkoopprijs,361791,403609,549858,694945
Bergen op Zoom,Gemiddelde verkoopprijs,208454,223748,278752,360624
Bergeyk,Gemiddelde verkoopprijs,,,,
Bergh,Gemiddelde verkoopprijs,,,,
Bergschenhoek,Gemiddelde verkoopprijs,,,,
Berkel en Rodenrijs,Gemiddelde verkoopprijs,,,,
Berkel-Enschot,Gemiddelde verkoopprijs,,,,
Berkelland,Gemiddelde verkoopprijs,218059,221494,302442,400993
Berlicum,Gemiddelde verkoopprijs,,,,
Bernheze,Gemiddelde verkoopprijs,270050,264041,368167,500209
Bernisse,Gemiddelde verkoopprijs,274294,,,
Best,Gemiddelde verkoopprijs,245611,271229,364533,517663
Beuningen,Gemiddelde verkoopprijs,243698,239749,334859,451834
Beverwijk,Gemiddelde verkoopprijs,193932,205799,304572,402710
het Bildt,Gemiddelde verkoopprijs,167935,151635,,
De Bilt,Gemiddelde verkoopprijs,401758,384837,540361,701163
Binnenmaas,Gemiddelde verkoopprijs,238857,241111,,
Bladel,Gemiddelde verkoopprijs,247690,254590,358832,468486
Bladel en Netersel,Gemiddelde verkoopprijs,,,,
Blaricum,Gemiddelde verkoopprijs,761560,554646,831788,993994
Bleiswijk,Gemiddelde verkoopprijs,,,,
Bloemendaal,Gemiddelde verkoopprijs,546697,649703,863297,1043333
Boarnsterhim,Gemiddelde verkoopprijs,178611,,,
Bodegraven,Gemiddelde verkoopprijs,,,,
Bodegraven-Reeuwijk,Gemiddelde verkoopprijs,270766,265782,356638,517752
Boekel,Gemiddelde verkoopprijs,247967,252999,325511,389372
Ten Boer,Gemiddelde verkoopprijs,181144,165414,,
Bolsward,Gemiddelde verkoopprijs,,,,
Borculo,Gemiddelde verkoopprijs,,,,
Borger,Gemiddelde verkoopprijs,,,,
Borger-Odoorn,Gemiddelde verkoopprijs,196611,204217,276324,377859
Born,Gemiddelde verkoopprijs,,,,
Borne,Gemiddelde verkoopprijs,226982,230277,311055,410964
Borsele,Gemiddelde verkoopprijs,189437,198956,259279,363073
Boskoop,Gemiddelde verkoopprijs,217005,,,
Boxmeer,Gemiddelde verkoopprijs,256254,237758,306240,
Boxtel,Gemiddelde verkoopprijs,264603,268053,318532,468999
Brakel,Gemiddelde verkoopprijs,,,,
Breda,Gemiddelde verkoopprijs,256421,266550,378935,484925
Brederwiede,Gemiddelde verkoopprijs,,,,
Breukelen,Gemiddelde verkoopprijs,,,,
Brielle,Gemiddelde verkoopprijs,248521,220629,330582,
Broekhuizen,Gemiddelde verkoopprijs,,,,
Bronckhorst,Gemiddelde verkoopprijs,237681,245747,366813,494738
Brouwershaven,Gemiddelde verkoopprijs,,,,
Bruinisse,Gemiddelde verkoopprijs,,,,
Brummen,Gemiddelde verkoopprijs,254791,247929,351320,421718
Brunssum,Gemiddelde verkoopprijs,146857,149486,203262,268627
Budel,Gemiddelde verkoopprijs,,,,
Bunnik,Gemiddelde verkoopprijs,277716,339691,441040,556082
Bunschoten,Gemiddelde verkoopprijs,241145,251164,363809,484325
Buren,Gemiddelde verkoopprijs,259137,276091,364958,564869
Bussum,Gemiddelde verkoopprijs,396800,,,
Capelle aan den IJssel,Gemiddelde verkoopprijs,207725,195062,294059,390223
Castricum,Gemiddelde verkoopprijs,263424,258386,395177,513673
Chaam,Gemiddelde verkoopprijs,,,,
Coevorden,Gemiddelde verkoopprijs,192977,213934,276626,381207
Cothen,Gemiddelde verkoopprijs,,,,
Cranendonck,Gemiddelde verkoopprijs,223959,227420,317322,428153
Cromstrijen,Gemiddelde verkoopprijs,243879,243824,,
Cuijk,Gemiddelde verkoopprijs,216893,206252,287731,
Culemborg,Gemiddelde verkoopprijs,246017,221135,319641,463323
Dalen,Gemiddelde verkoopprijs,,,,
Dalfsen,Gemiddelde verkoopprijs,227427,254193,344270,480929
Dantumadeel,Gemiddelde verkoopprijs,,,,
Dantumadiel,Gemiddelde verkoopprijs,179117,206037,257872,359932
Delft,Gemiddelde verkoopprijs,212589,224039,339921,409999
Delfzijl,Gemiddelde verkoopprijs,137535,132086,177054,
Denekamp,Gemiddelde verkoopprijs,,,,
Deurne,Gemiddelde verkoopprijs,262824,261610,339761,423560
Deventer,Gemiddelde verkoopprijs,203303,207765,288511,400782
Didam,Gemiddelde verkoopprijs,,,,
Diemen,Gemiddelde verkoopprijs,216781,203591,414599,551601
Diepenheim,Gemiddelde verkoopprijs,,,,
Diepenveen,Gemiddelde verkoopprijs,,,,
Diessen,Gemiddelde verkoopprijs,,,,
Diever,Gemiddelde verkoopprijs,,,,
Dijk en Waard,Gemiddelde verkoopprijs,,,,423626
Dinkelland,Gemiddelde verkoopprijs,226679,238500,315526,431948
Dinteloord en Prinsenland,Gemiddelde verkoopprijs,,,,
Dinxperlo,Gemiddelde verkoopprijs,,,,
Dirksland,Gemiddelde verkoopprijs,165943,,,
Dodewaard,Gemiddelde verkoopprijs,,,,
Doesburg,Gemiddelde verkoopprijs,222345,230431,284787,406835
Doetinchem,Gemiddelde verkoopprijs,215306,208543,292285,383133
Domburg,Gemiddelde verkoopprijs,,,,
Dongen,Gemiddelde verkoopprijs,209924,242023,303641,430579
Dongeradeel,Gemiddelde verkoopprijs,163037,165522,,
Doorn,Gemiddelde verkoopprijs,,,,
Dordrecht,Gemiddelde verkoopprijs,180984,184287,258874,362740
Drechterland,Gemiddelde verkoopprijs,226507,235351,337315,465461
Driebergen-Rijsenburg,Gemiddelde verkoopprijs,,,,
Drimmelen,Gemiddelde verkoopprijs,244737,244228,300345,427898
Dronten,Gemiddelde verkoopprijs,215203,215670,288202,390496
Drunen,Gemiddelde verkoopprijs,,,,
Druten,Gemiddelde verkoopprijs,221112,218829,310627,437321
Duiveland,Gemiddelde verkoopprijs,,,,
Duiven,Gemiddelde verkoopprijs,204080,214458,285676,422481
Den Dungen,Gemiddelde verkoopprijs,,,,
Dussen,Gemiddelde verkoopprijs,,,,
Dwingeloo,Gemiddelde verkoopprijs,,,,
Echt,Gemiddelde verkoopprijs,,,,
Echteld,Gemiddelde verkoopprijs,,,,
Echt-Susteren,Gemiddelde verkoopprijs,191208,187880,254534,343615
